Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2015-11-02,"FT: Rows, Rows and Snatch Complexes",,false,false,29279,,Completed,500m around 600 cal pace 250 @ 1000 cal pace,"Row, 500 m
Row, 250 m
Snatch Complex"
2015-11-02,Every 2 mins for 10 mins: Front Squat,1876.0,true,false,14384,600000,1876 kg,"No belt, last two sets reps 6&7 were difficult ","Every 2 mins for 10 mins:
7 Front Squats | 45 kg
7 Front Squats | 50 kg
7 Front Squats | 55 kg
7 Front Squats | 58 kg
7 Front Squats | 60 kg"
2015-11-02,"AMRAP 10 mins: Dumbbell Walking Lunges, Dumbbell Push Press, Dumbbell Walking Lunges and Rope Climbs",2.15,false,false,4152,600000,2 rounds + 24 ft,"Back a little tweaked from front squats and right hand grip stiff, all lunges unbroken","10:00 AMRAP:
Dumbbell Walking Lunge, 25 lbs, 40 ft
15 Dumbbell Push Press, 25 lbs
Dumbbell Walking Lunge, 25 lbs, 40 ft
3 Rope Climb (from ground to standing)s"
2015-11-02,"Chipper: Side Splits, Couch Stretches, Pancake Stretches and Elbow-To-Toes",,false,false,0,,Completed,"","Side Split, 3 mins
Couch Stretch, 2 mins
Pancake Stretch, 1 min
60 Elbow-To-Toes"
2015-11-01,Isabel,395000,true,false,23606,395000,6 mins 35 secs,"Singles, failed last rep","30 Snatches, 95 lbs"
2015-11-01,Every 2 mins for 10 mins: Overhead Squat,1571.69756205,true,false,13300,600000,3465 lbs,"Never had a 7rep max but that should be close, rep 6&7 were difficult on sets 4&5.  No belt and hip felt good","Every 2 mins for 10 mins:
7 Overhead Squats | 85 lbs
7 Overhead Squats | 95 lbs
7 Overhead Squats | 100 lbs
7 Overhead Squats | 105 lbs
7 Overhead Squats | 110 lbs"
2015-11-01,Alt EMOM 12 mins: Strict Pull-ups and Strict Bar Dips,8868,false,false,8868,720000,Completed,"Pull-ups with green and small black band, no breaks in reps this week, dips with small black band no breaks in reps","Every 1 min for 12 mins, alternating between:
5 Strict Pull-ups
5 Strict Bar Dips"
2015-11-01,"FT: Quad Smashes, Chest Smashes and Shoulder Smashes",,false,false,0,,Completed,"","Quad Smash, 2 mins
Chest Smash, 1 min
Shoulder Smash, 2 mins"
2015-11-01,"""Tabata"" - Pvc Thrusters and Burpees : 8 x 20 secs / 10 secs",77,true,false,14120,480000,77 reps | 51 + 26,"Think I did it right this time, alternated between thrusters and burpees","Tabata Pvc Thruster
Tabata Burpee"
2015-11-01,FT: Squat Preps and Prone Dislocates,,false,false,0,,Completed,"","30 Squat Preps
25 Prone Dislocates"
2015-10-31,"2 RFT: 200 m, Prone Dislocates, Pvc Overhead Squats, 2 and  more",,false,false,33711,,Completed,"","2 rounds of:
Run, 200 m
20 Prone Dislocates
20 Pvc Overhead Squats
20 Burpees
20 Mountain Climbers"
2015-10-31,The Seven,2073000,false,false,78473,2073000,34 mins 33 secs,"HSPU to ab mat on 25# plate, knees to elbows on rings to switch up grip so I would not rip on the bar, all thrusters, deads and kbs unbroken","5 rounds of:
7 Handstand Push Ups
7 Thrusters, 75 lbs
7 Knees To Elbows
7 Deadlifts, 155 lbs
7 Burpees
7 Kettlebell Swings, 1 pood
7 Pull-ups"
2015-10-29,"Chipper: Kneeling Shoulder Stretches, Prone Dislocates, Squat Preps and Barbell Warm-Up Complexes",,false,false,0,,Completed,"","Kneeling Shoulder Stretch, 2 mins
20 Prone Dislocates
Squat Prep
Barbell Warm-Up Complex, 5 mins"
2015-10-29,Every 1 min for 20 mins: Power Clean & Jerk,1154.39258165,true,false,19182,1200000,2545 lbs,"","Every 1 min for 20 mins:
1 Power Clean & Jerk | 95 lbs
1 Power Clean & Jerk | 105 lbs
1 Power Clean & Jerk | 110 lbs
1 Power Clean & Jerk | 115 lbs
1 Power Clean & Jerk | 120 lbs
1 Power Clean & Jerk | 125 lbs
1 Power Clean & Jerk | 125 lbs
1 Power Clean & Jerk | 125 lbs
1 Power Clean & Jerk | 125 lbs
1 Power Clean & Jerk | 125 lbs
1 Power Clean & Jerk | 130 lbs
1 Power Clean & Jerk | 130 lbs
1 Power Clean & Jerk | 135 lbs
1 Power Clean & Jerk | 135 lbs
1 Power Clean & Jerk | 135 lbs
1 Power Clean & Jerk | 140 lbs
1 Power Clean & Jerk | 140 lbs
1 Power Clean & Jerk | 140 lbs
1 Power Clean & Jerk | 145 lbs
1 Power Clean & Jerk | 145 lbs"
2015-10-29,FT: Sled Drags,1450000,true,false,0,1450000,24 mins 10 secs,"Sled with 45 was approximately 90#, that sucked, would be easier with a harness instead of just regular straps","Sled Drag, 90 lbs, 1 mi"
2015-10-25,Karen,513000,true,false,45418,513000,8 mins 33 secs,"PR, shooting for under 10 min","150 Wall Balls, 14 lbs, 9 ft"
2015-10-25,Every 1 min for 20 mins: Squat Snatches and Strict Muscle Up s,20.0,false,false,0,1200000,20.0 rounds,"85-85-85-90-90-90-95-95-95-100-100-100-100-100-105-105x-105-105-105-105
Muscle up transition from seated to catch with band","Every 1 min for 20 mins:
1 Squat Snatch
1 Strict Muscle Up"
2015-10-25,"FT: Quad Smashes, Couch Stretches and Pancake Stretches",,false,false,0,,Completed,"","Quad Smash, 2 mins
Couch Stretch, 2 mins
Pancake Stretch"
2015-10-25,FT: Vinyasa Flows,,false,false,0,,Completed,"","Vinyasa Flow, 5 mins"
2015-10-25,"Chipper: Rows, Ankle Mobilities, Wrist mobilities and Squat Preps",,false,false,19520,,Completed,"","Row, 500 m
40 Ankle Mobilities
40 Wrist mobilities
Squat Prep"
2015-10-24,"Every 4 mins for 20 mins: Rows, Air Squats and Rope Climb (Legless)s",5.0,false,false,70801,1200000,5.0 rounds,"Standing to sit 2x for rope climbs, splits 2:32,2:34,2:36,2:40,2:38","Every 4 mins for 20 mins:
Row, 250 m
20 Air Squats
1 Rope Climb (Legless)"
2015-10-24,"Chipper: Ankle Mobilities, Kneeling Shoulder Stretches, 200 m, 7 and  more",660000,false,false,18449,660000,11 mins,"","Ankle Mobility, 2 mins
Kneeling Shoulder Stretch, 2 mins
Run, 200 m
Instep Stretch, 40 secs
Couch Stretch, 40 secs
20 Prone Dislocates
20 Mini Band Squats
20 Push-ups
20 Pvc Overhead Squats
Run, 200 m"
2015-10-24,Every 2 mins for 10 mins: Back Squat,1177.07220015,true,false,7494,600000,2595 lbs,"No belt, hip felt ok","Every 2 mins for 10 mins:
3 Back Squats | 145 lbs
3 Back Squats | 165 lbs
3 Back Squats | 175 lbs
3 Back Squats | 185 lbs
3 Back Squats | 195 lbs"
2015-10-24,Every 1 min for 5 mins: Strict Press,469.46810295,true,false,3045,300000,1035 lbs,Accidentally did sets of 5 instead of three ,"Every 1 min for 5 mins:
5 Strict Press | 65 lbs
5 Strict Press | 70 lbs
5 Strict Press | 70 lbs
5 Strict Press | 70 lbs
5 Strict Press | 70 lbs"
2015-10-24,FT: Vinyasa Flows,,false,false,0,,Completed,"","Vinyasa Flow, 5 mins"
2015-10-23,"""Tabata"" - Pvc Thrusters and Burpees : 8 x 20 secs / 10 secs",116,true,false,21604,480000,116 reps | 76 + 40,"","Tabata Pvc Thruster
Tabata Burpee"
2015-10-23,FT: 400 m and Squat Preps,,false,false,5994,,Completed,"","Run, 200 m
Squat Prep"
2015-10-23,Grace,258000,true,false,25148,258000,4 mins 18 secs,"","30 Clean & Jerks, 95 lbs"
2015-10-23,Every 2 mins for 10 mins: Deadlift,1279.1304834,true,false,7251,600000,2820 lbs,"No belt, lowered controlled on all last reps","Every 2 mins for 10 mins:
3 Deadlifts | 155 lbs
3 Deadlifts | 175 lbs
3 Deadlifts | 195 lbs
3 Deadlifts | 205 lbs
3 Deadlifts | 210 lbs"
2015-10-23,Alt EMOM 12 mins: Strict Pull-ups and Strict Bar Dips,8819,false,false,8819,720000,Completed,"Pull ups with green band, dips with feet in small band","Every 1 min for 12 mins, alternating between:
5 Strict Pull-ups
5 Strict Bar Dips"
2015-10-23,Handstand Hold : 3x Max Hold,100000,true,false,0,100000,1 min 40 secs,"","Sets
Handstand Hold | 33 reps
Handstand Hold | 32 reps
Handstand Hold | 35 reps"
2015-10-23,"FT: Up Dogs, Elbow-To-Toes and Kneeling Shoulder Stretches",,false,false,0,,Completed,"","Up Dog, 1 min
60 Elbow-To-Toes
Kneeling Shoulder Stretch, 2 mins"
2015-10-21,40-30-20-10: Wall Balls and Ball Slams,809000,true,false,59276,809000,13 mins 29 secs,Slam balls were harder than I thought they would be,"40-30-20-10 reps of:
Wall Ball, 14 lbs, 9 ft
Ball Slam, 20 lbs"
2015-10-21,FT: Ankle Mobilities and Front Rack Mobilities,,false,false,0,,Completed,"","25 Ankle Mobilities
Front Rack Mobility, 2 mins"
2015-10-21,"3 RFT: Knee Jumps, Medicine Ball Goblet Squats and Med Ball Sit Ups",300000,false,false,0,300000,5 mins,"","3 rounds of:
3 Knee Jumps
10 Medicine Ball Goblet Squats
10 Med Ball Sit Ups"
2015-10-21,Every 2 mins for 10 mins: Front Squat,898.1128926,true,false,6482,600000,1980 lbs,"No belt, hip felt good, very warmed up after the wallballs and slams, with no belt had to really concentrate on midline on last two sets","Every 2 mins for 10 mins:
3 Front Squats | 115 lbs
3 Front Squats | 125 lbs
3 Front Squats | 135 lbs
3 Front Squats | 140 lbs
3 Front Squats | 145 lbs"
2015-10-21,Alt EMOM 10 mins: Muscle-ups and Handstand Walks,0,false,false,0,600000,Completed,"Did muscle up transitions with band on rings from seated to catch

Handstand walk, started about a foot or two away from the wall and took 2-4 steps to wall 3 times","Every 1 min for 10 mins, alternating between:
3 Muscle Up Progressions
Handstand Walk, 3 ft"
2015-10-21,FT: Vinyasa Flows,,false,false,0,,Completed,"","Vinyasa Flow, 5 mins"
2015-10-20,J.T.,1164000,false,false,3972,1164000,19 mins 24 secs,Holy arm fatigue batman... Shoulder press with 25# DB bar dips with band and knee push ups,"21-15-9 reps of:
Dumbbell Shoulder Press, 25 lbs
Bar Dip (Blue Band)
Push-up (knees)"
2015-10-20,"Chipper: 200 m, Handstand Holds, Plank Holds, 3 and  more",,false,false,5994,,Completed,"","Run, 200 m
Handstand Hold, 1 min
Plank Hold, 1 min
Hollow Hold, 1 min
Wrist mobility, 1 min
Rtc Prep"
2015-10-20,Every 2 mins for 10 mins: Overhead Squat,775.6429527,true,false,6046,600000,1710 lbs,Arms a little fatigued at the beginning but felt better towards them end,"Every 2 mins for 10 mins:
3 Overhead Squats | 95 lbs
3 Overhead Squats | 105 lbs
3 Overhead Squats | 115 lbs
3 Overhead Squats | 125 lbs
3 Overhead Squats | 130 lbs"
2015-10-20,AbMat Sit-up : 100 Reps for Time,265000,true,false,18054,265000,4 mins 25 secs,"",100 AbMat Sit-ups
2015-10-20,FT: Shoulder Mobilities and Quad Smashes,,false,false,0,,Completed,"","Shoulder Mobility, 2 mins
Quad Smash, 2 mins"
2015-10-17,"Chipper: 400 m, Bear Crawls, Duck Walks, 8 and  more",,false,false,13069,,Completed,"","Run, 400 m
Bear Crawl, 25 m
Duck Walk, 25 m
Burpee Broad Jump, 25 m
Bound, 25 m
Karaoke, 25 m
Bear Crawl, 25 m
Duck Walk, 25 m
Burpee Broad Jump, 25 m
Bound, 25 m
Karaoke, 25 m"
2015-10-17,5 RFT: Burpee Box Jumps and Dumbbell Thrusters,613000,false,false,53774,613000,10 mins 13 secs,"No box, stacked plates, measured 21 in.  No Dumbbells, used regular bar with 55#
Hip flexor stiff but no sharp pains, need to do more air squats in warm up to loosen it up before loading","4 rounds of:
10 Burpee Box Jumps, 21 in
12 Thrusters, 55 lbs"
2015-10-17,Every 2 mins for 10 mins: Deadlift,1905.087954,true,false,11090,600000,4200 lbs,No belt,"Every 2 mins for 10 mins:
5 Deadlifts | 140 lbs
5 Deadlifts | 155 lbs
5 Deadlifts | 170 lbs
5 Deadlifts | 185 lbs
5 Deadlifts | 190 lbs"
2015-10-16,Cindy,9.467,true,false,74441,1200000,9 rounds + 5 Pull-ups + 4 Push-ups | 279 reps,Ripped on last pull up,"20:00 AMRAP:
5 Pull-ups
10 Push-ups
15 Air Squats"
2015-10-16,Every 2 mins for 10 mins: Front Squat,1236.03920825,true,false,9874,600000,2725 lbs,"No belt, and no hip flexor pain!!","Every 2 mins for 10 mins:
5 Front Squats | 95 lbs
5 Front Squats | 105 lbs
5 Front Squats | 110 lbs
5 Front Squats | 115 lbs
5 Front Squats | 120 lbs"
2015-10-14,Every 2 mins for 10 mins: Overhead Squat,963.88378625,true,false,8904,600000,2125 lbs,"","Every 2 mins for 10 mins:
5 Overhead Squats | 65 lbs
5 Overhead Squats | 75 lbs
5 Overhead Squats | 85 lbs
5 Overhead Squats | 95 lbs
5 Overhead Squats | 105 lbs"
2015-10-14,Every 45 secs for 15 mins: Squat Clean,1002.4391377,true,false,15499,900000,2210 lbs,"No belt, working on lifting without on","Every 45 secs for 15 mins:
1 Squat Clean | 85 lbs
1 Squat Clean | 85 lbs
1 Squat Clean | 95 lbs
1 Squat Clean | 95 lbs
1 Squat Clean | 105 lbs
1 Squat Clean | 105 lbs
1 Squat Clean | 110 lbs
1 Squat Clean | 110 lbs
1 Squat Clean | 115 lbs
1 Squat Clean | 115 lbs
1 Squat Clean | 115 lbs
1 Squat Clean | 115 lbs
1 Squat Clean | 115 lbs
1 Squat Clean | 115 lbs
1 Squat Clean | 120 lbs
1 Squat Clean | 120 lbs
1 Squat Clean | 120 lbs
1 Squat Clean | 120 lbs
1 Squat Clean | 125 lbs
1 Squat Clean | 125 lbs"
2015-10-13,FT: Ankle Mobilities and Wrist mobilities,,false,false,0,,Completed,"","25 Ankle Mobilities
25 Wrist mobilities"
2015-10-13,5 RFT: Front Squats and 400 m,784000,false,false,47135,784000,13 mins 4 secs,"To stay in time cap did 3 rounds @95#
","3 rounds of:
10 Front Squats, 95 lbs
Run, 400 m"
2015-10-13,Every 1 min for 20 mins: Double Unders and Squat Snatches,20.0,false,false,50006,1200000,20.0 rounds,"","Every 1 min for 20 mins:
20 Double Unders
1 Squat Snatch, 75 lbs"
2015-10-06,AMRAP 12 mins: Rope Climbs and Handstand Walks,6.0,false,false,0,720000,6 rounds,"","12:00 AMRAP:
12 Towel Rows
Handstand Hold, 30 secs"
2015-10-06,Every 2 mins for 10 mins: Back Squat,2270.22981185,true,false,15747,600000,5005 lbs,"Hip still tight, still a dull pain in flexor
","Every 2 mins for 10 mins:
7 Back Squats | 135 lbs
7 Back Squats | 145 lbs
7 Back Squats | 145 lbs
7 Back Squats | 145 lbs
7 Back Squats | 145 lbs"
2015-10-06,"""Tabata"" - Toes-to-bars : 8 x 20 secs / 10 secs",76,false,false,13721,240000,76 reps | 76,Sit ups,"Tabata AbMat Sit-up | 11,10,10,10,9,9,9,8"
2015-10-06,"FT: Vinyasa Flows, Couch Stretches and Pigeon Stretches",,true,false,0,,Completed,"","Vinyasa Flow, 5 mins
Couch Stretch, 2 mins
Pigeon Stretch, 2 mins"
2015-10-06,"Chipper: Shoulder Smashes, 400 m, Air Squats and Pass Throughs",,false,false,18553,,Completed,"","Shoulder Smash, 5 mins
Run, 400 m
30 Air Squats
20 Pass Throughs"
2015-10-04,"Chipper: Banded Ankle Distractions, T Spine Mobility W/ Balls, Rows, 2 and  more",,false,false,18553,,Completed,"At hotel no rower so I ran
","Banded Ankle Distraction, 2 mins
T Spine Mobility W/ Ball, 2 mins
Run, 400 m
30 Air Squats
20 Pass Throughs"
2015-10-04,Fran,381000,false,false,18976,381000,6 mins 21 secs,"30lb Dumbbells, body rows on the treadmill","21-15-9 reps of:
Thruster, 60 lbs
Body Row"
2015-10-04,Every 2 mins for 10 mins: Deadlift,1587.573295,true,false,10792,600000,3500 lbs,"50 # Dumbbells, the largest ones they had at the hotel
","Every 2 mins for 10 mins:
7 Deadlifts | 100 lbs
7 Deadlifts | 100 lbs
7 Deadlifts | 100 lbs
7 Deadlifts | 100 lbs
7 Deadlifts | 100 lbs"
2015-10-04,Every 1 min for 5 mins: Press,698.5322498,true,false,2719,300000,1540 lbs,All with Dumbbells,"Every 1 min for 5 mins:
7 Press | 40 lbs
7 Press | 40 lbs
7 Press | 60 lbs
7 Press | 40 lbs
7 Press | 40 lbs"
2015-10-04,FT: Vinyasa Flows and Banded Shoulder Stretches,,false,false,0,,Completed,"","Vinyasa Flow, 5 mins
Banded Shoulder Stretch, 5 mins"
2015-10-01,"AMRAP 12 mins: Pull-ups, Single Arm Db Bent Over Rows, Single Arm Db Bent Over Rows, and Hanging Knee Raises",2.833,true,false,5292,720000,2 rounds + 6 Pull-ups + 12 Single Arm Db Bent Over Rows + 12 Single Arm Db Bent Over Rows + 5 Hanging Knee Raises | 125 reps,Pull-ups with a band Green + small black,"12:00 AMRAP:
6 Pull-ups
12 Single Arm Db Bent Over Rows, 25 lbs
12 Single Arm Db Bent Over Rows, 25 lbs
15 Hanging Knee Raises"
2015-09-25,"FT: Box Jumps, One Arm Dumbbell Snatch (Alternating)s, One Arm Dumbbell Snatch (Alternating)s, and Box Jumps",939000,true,false,30333,939000,15 mins 39 secs,"","50 Box Jumps, 20 in
25 One Arm Dumbbell Snatch (Alternating)s, 50 lbs
25 One Arm Dumbbell Snatch (Alternating)s, 35 lbs
50 Box Jumps, 20 in"
2015-08-20,"FT: 800 m, Pull-ups, Box Jumps, and 4 more",2510000,true,false,117544,2510000,41 mins 50 secs,"","Run, 800 m
30 Pull-ups
60 Box Jumps, 20 in
30 Power Snatches, 65 lbs
60 Box Jumps, 20 in
30 Pull-ups
Run, 800 m"
2015-07-28,Bench Press 3-3-3-3-1,707.6040972,true,false,2754,,"1560 lbs | 105 lbs, 115 lbs, 125 lbs, 130 lbs, and 135 lbs",New 3rm,"Sets
Bench Press, 3 reps | 105 lbs
Bench Press, 3 reps | 115 lbs
Bench Press, 3 reps | 125 lbs
Bench Press, 3 reps | 130 lbs
Bench Press, 1 rep | 135 lbs"
2015-07-27,Back Squat 1-1-1-1-1,494.4156833,true,false,2856,,"1090 lbs | 185 lbs, 205 lbs, 220 lbs, 235 lbs, and 245 lbs","","Sets
Back Squat, 1 rep | 185 lbs
Back Squat, 1 rep | 205 lbs
Back Squat, 1 rep | 220 lbs
Back Squat, 1 rep | 235 lbs
Back Squat, 1 rep | 245 lbs"
2015-07-21,3 RFT: Double Unders and Hang Clean & Jerks,340000,true,false,31323,340000,5 mins 40 secs,"","3 rounds of:
70 Double Unders
7 Hang Clean & Jerks, 95 lbs"
2015-07-13,Snatch 1 Rep,55.79186151,true,false,932,,123 lbs | 123 lbs,45s!!!,"Sets
Snatch, 1 rep | 123 lbs"
2015-07-06,"4 RFT: Row (calories)s, Dumbbell Bench Press, and Bear Crawls",1831000,true,false,0,1831000,30 mins 31 secs,"","4 rounds of:
30 Row (calories)s
15 Dumbbell Bench Press, 70 lbs
Bear Crawl, 50 m"
2015-06-27,"5 RFT: Cleans, Sprints, Kettlebell Snatches, and Rests",1582000,true,false,79752,1582000,26 mins 22 secs,"","5 rounds of:
3 Cleans, 135 lbs
Sprint, 200 m
20 Kettlebell Snatches, 1 pood
Rest, 2 mins"
2015-06-09,"4x AMRAP 4 mins: 400 m, Kettlebell Swing (American)s, and Double Unders",3.628,true,false,86109,960000,3.628 rounds,"Hotel wod, ran on treadmill with incline set @1, swings with dumbbell ","4x 4:00 AMRAP:
Run, 400 m
25 Kettlebell Swing (American)s, 30 lbs
60 Double Unders
Resting 4 mins between each AMRAP."
2015-06-08,FT: Air Squats; 2x 500 m and Squat Jumps,900000,true,false,51853,900000,15 mins,"","100 Air Squats
-- then --
2 rounds of:
Run, 500 m
21 Squat Jumps, 18 in"
2015-06-06,"FT: AbMat Sit-ups, Deadlifts, AbMat Sit-ups, and 2 more",556000,true,false,40509,556000,9 mins 16 secs,"Linchpin workout 6/6/15, scaled deadlift with 40# Dumbbells followed by some hill sprints and push ups","50 AbMat Sit-ups
25 Deadlifts, 80 lbs
50 AbMat Sit-ups
25 Deadlifts, 80 lbs
50 AbMat Sit-ups"
2015-06-05,"FT: Jump Rope (Singles)s, Goblet Squats, Jump Rope (Singles)s, and 7 more",495000,true,false,58146,495000,8 mins 15 secs,"","150 Jump Rope (Singles)s
50 Goblet Squats, 20 lbs
120 Jump Rope (Singles)s
40 Goblet Squats, 20 lbs
90 Jump Rope (Singles)s
30 Goblet Squats, 20 lbs
60 Jump Rope (Singles)s
20 Goblet Squats, 20 lbs
30 Jump Rope (Singles)s
10 Goblet Squats, 20 lbs"
2015-06-01,"FT: Burpees, Hang Power Cleans, Burpees, and 3 more",924000,true,false,53788,924000,15 mins 24 secs,"","30 Burpees
15 Hang Power Cleans, 95 lbs
24 Burpees
12 Hang Power Cleans, 95 lbs
18 Burpees
9 Hang Power Cleans, 95 lbs"
2015-05-30,FT: Burpees; 5x Double Unders and AbMat Sit-ups; Wall Balls,934000,true,false,61774,934000,15 mins 34 secs,5 rounds were Annie 50-40-30-20-10 but I did not feel like putting it in that way,"25 Burpees
-- then --
5 rounds of:
30 Double Unders
30 AbMat Sit-ups
-- then --
25 Wall Balls, 14 lbs, 9 ft"
2015-05-25,Murph,4738000,true,false,255769,4738000,78 mins 58 secs,"Splits
Mile 1: 10:19
First 10 rds: 23:30
2nd 10 rds: 29:50
Mile 2: 12:27

Almost all sets of pullups unbroken and butterfly ","Run, 1 mi
100 Pull-ups
200 Push-ups
300 Air Squats
Run, 1 mi"
2015-05-24,Back Squat 6-6-6-6-6,2626.2998223,true,false,15921,,"5790 lbs | 193 lbs, 193 lbs, 193 lbs, 193 lbs, and 193 lbs",5X6 @ 80% 1RM,"Sets
Back Squat, 6 reps | 193 lbs
Back Squat, 6 reps | 193 lbs
Back Squat, 6 reps | 193 lbs
Back Squat, 6 reps | 193 lbs
Back Squat, 6 reps | 193 lbs"
2015-05-24,5 RFT: Back Squats and Jumping Squats,,true,false,21320,,Completed,Squats on Tempo 6011 @60% 1RM,"5 rounds of:
6 Back Squats, 148 lbs
6 Jumping Squats, 40 lbs
Rest 1:30"
2015-05-23,3 RFT: Box Jumps and Clean & Jerks,717000,true,false,40541,717000,11 mins 57 secs,"CFLP 5/23/15 WOD 
","3 rounds of:
10 Box Jumps, 30 in
10 Clean & Jerks, 105 lbs"
2015-05-21,"Row (calories)s, Rests, Pull-ups, Back Squats, Push Jerks",139,true,false,21872,,139 reps,"","36 Row Calories 2 mins
Rests 2 mins
33 Row Calories 2 mins
Rests 2 mins
17 Pull-ups 1 min 30 secs
Rests 1 min 30 secs
13 Pull-ups 1 min 30 secs
Rests 1 min 30 secs
9 Back Squats 175 lbs 1 min
Rests 1 min
10 Back Squats 175 lbs 1 min
Rests 1 min
10 Push Jerks 95 lbs 30 secs
Rests 30 secs
11 Push Jerks 95 lbs 30 secs"
2015-05-19,Back Squat 4-4-4-4-4,1723.651006,true,false,10758,,"3800 lbs | 165 lbs, 175 lbs, 190 lbs, 205 lbs, and 215 lbs",ON 3011 Tempo,"Sets
Back Squat, 4 reps | 165 lbs
Back Squat, 4 reps | 175 lbs
Back Squat, 4 reps | 190 lbs
Back Squat, 4 reps | 205 lbs
Back Squat, 4 reps | 215 lbs"
2015-05-19,5x AMRAP 1 min: Front Squats and Push-up (hand release)s,5.732,true,false,31238,300000,5.732 rounds,"","5x 1:00 AMRAP:
8 Front Squats, 95 lbs
7 Push-up (hand release)s
Resting 1 min between each AMRAP."
2015-05-19,"4 RFT: Airdyne (Calories)s, Air Squats, and Jumping Squats",750000,true,false,36365,750000,12 mins 30 secs,"","4 rounds of:
13 Airdyne (Calories)s
30 Air Squats
10 Jumping Squats, 6 in"
2015-05-15,"4 RFT: Power Cleans, Front Squats and Shoulder-to-Overheads",445000,false,false,21047,445000,7 mins 25 secs,"CFLP workout rx would be 145, done on day one of regionals back stage","4 rounds of:
4 Power Cleans, 115 lbs
4 Front Squats, 115 lbs
4 Shoulder-to-Overheads, 115 lbs"
2015-05-13,Every 1 min for 20 mins: Power Cleans and Lateral Burpee (Over Barbell)s,20.0,true,false,29447,1200000,20.0 rounds,"Power Clean @ 75% 1RM
Burpees with Good Push-up, no flops","Every 1 min for 20 mins:
2 Power Cleans, 125 lbs
3 Lateral Burpee (Over Barbell)s"
2015-05-12,"4 RFT: Front Squats, Lying Leg Curls, and Double Unders",,true,false,27030,,Completed,FS 80% 1RM on Tempo 21X1,"4 rounds of:
4 Front Squats, 160 lbs
15 Lying Leg Curls
50 Double Unders"
2015-05-12,AMRAP 8 mins: Lunges and AbMat Sit-ups,3.125,true,false,33785,480000,3 rounds + 5 Lunges | 125 reps,Lunges with 2-35# KBs,"8:00 AMRAP:
20 Lunges, 70 lbs
20 AbMat Sit-ups"
2015-05-11,3x AMRAP 3 mins: 400 m and Pull-ups,2.75,true,false,43718,540000,2.75 rounds,"","3x 3:00 AMRAP:
Run, 400 m
10 Pull-ups
Resting 2 mins between each AMRAP."
2015-05-11,"3 RFT: Bench Press, Plyo Push Ups (Height)s, and Side Planks",1193000,true,false,3654,1193000,19 mins 53 secs,"Bench on tempo 20X1, side plank 30 seconds on each side","3 rounds of:
6 Bench Press, 115 lbs
Plyo Push Ups (Height), 2 in
Side Plank, 1 min"
2015-05-10,Overhead Squat 1-1-1-1-1-1-1,378.74962895,true,false,2734,,"835 lbs | 115 lbs, 125 lbs, 135 lbs, 145 lbs, 155 lbs, 160 lbs, and 165 lbs (0)","","Sets
Overhead Squat, 1 rep | 115 lbs
Overhead Squat, 1 rep | 125 lbs
Overhead Squat, 1 rep | 135 lbs
Overhead Squat, 1 rep | 145 lbs
Overhead Squat, 1 rep | 155 lbs
Overhead Squat, 1 rep | 160 lbs
Overhead Squat, 0 reps | 165 lbs"
2015-05-10,Randy,455000,true,false,35671,455000,7 mins 35 secs,"","75 Power Snatches, 55 lbs"
2015-05-07,"""Tabata"" - Toes-to-bars : 8 x 20 secs / 10 secs",27,true,false,2046,240000,27 reps | 27,"","Tabata Toes-to-bar | 5,4,3,3,3,3,3,3"
2015-05-07,"""Tabata"" - Box Jump Overs : 8 x 20 secs / 10 secs",80,true,false,10240,240000,80 reps | 80,"","Tabata Box Jump Over, 8 in | 15,9,8,9,9,9,9,12"
2015-05-07,"Plank Hold : 8x Max Hold, rest 10 secs",160000,true,false,0,160000,2 mins 40 secs,"","Sets : rest 10 secs
Plank Hold | 0:20
Plank Hold | 0:20
Plank Hold | 0:20
Plank Hold | 0:20
Plank Hold | 0:20
Plank Hold | 0:20
Plank Hold | 0:20
Plank Hold | 0:20"
2015-05-07,Back Squat 6-6-6-6,1959.5190384,true,false,12521,,"4320 lbs | 165 lbs, 175 lbs, 185 lbs, and 195 lbs",On tempo 3011,"Sets
Back Squat, 6 reps | 165 lbs
Back Squat, 6 reps | 175 lbs
Back Squat, 6 reps | 185 lbs
Back Squat, 6 reps | 195 lbs"
2015-05-06,Alt EMOM 15 mins: Deadlifts and Chin Up (Strict)s,20706,true,false,20706,900000,Completed,"Deadlift @70% 1RM
Jumped into Chin-ups and then did a slow negative","Every 1 min for 15 mins, alternating between:
6 Deadlifts, 185 lbs
4 Chin Up (Strict)s
Rest 1 min"
2015-05-06,"AMRAP 7 mins: Box Jumps, Sit outs, and Kettlebell Swing (Russian)s",3.524,true,false,16976,420000,3 rounds + 7 Box Jumps + 8 Sit outs | 120 reps,"","7:00 AMRAP:
7 Box Jumps, 20 in
14 Sit outs
14 Kettlebell Swing (Russian)s, 53 lbs"
2015-05-03,"5 RFT: Squat Snatches, Chin Over Bar Holds, Squat Snatches and Plank Holds",1197000,false,false,35462,1197000,19 mins 57 secs,"Held chin over barbell on rack with feet out in front, plank held with hands on barbell ","3 rounds of:
10 Squat Snatches, 55 lbs
Chin Over Bar Hold, 30 secs
10 Squat Snatches, 55 lbs
Plank Hold, 1 min"
